S NO.	COMPANY NAME	COMPANY CATEGORY
194	FELIX SOFTWARE SOLUTIONS PRIVATE LIMITED	Super CAT A
195	FINOLEX CABLES LIMITED	Super CAT A
196	FIRSTRAND BANK LIMITED	Super CAT A
197	Fleetguard filters private limited	Super CAT A
198	Food and Agriculture Organization of the United Nations FAO	Super CAT A
199	FORD CREDIT INDIA PRIVATE LIMITED	Super CAT A
200	FRANCE TELECOM DEVELOPMENT INTERNATIONAL	Super CAT A
201	FRANKLIN TEMPLETON INTERNATIONAL SERVICES (INDIA )PRIVATE LIMITED	Super CAT A
202	FRIGORIFICO ALLANA PRIVATE LIMITED	Super CAT A
203	FUJI PHOTO FILMS COMPANY LIMITED	Super CAT A
204	FUJITSU CONSULTING INDIA PRIVATE LIMITED	Super CAT A
205	FUJITSU INDIA PRIVATE LIMITED	Super CAT A
206	FULLERTON INDIA CREDIT COMPANY LIMITED	Super CAT A
207	GAIL (INDIA) LIMITED	Super CAT A
208	GAZPROM EP INTERNATIONAL SERVICES B.V.	Super CAT A
209	GE INDIA BUSINESS SERVICES PRIVATE LIMITED	Super CAT A
210	GE INDIA TECHNOLOGY CENTRE PRIVATE LIMITED	Super CAT A
211	GE POWER CONVERSION INDIA PRIVATE LIMITED	Super CAT A
212	GENPACT INDIA PRIVATE LIMITED	Super CAT A
213	GIC HOUSING FINANCE LIMITED	Super CAT A
214	GKB RX LENS PVT LTD	Super CAT A
215	GLAXOSMITHKLINE CONSUMER HEALTHCARELIMITED	Super CAT A
216	GLAXOSMITHKLINE PHARMACEUTICALS LIMITED	Super CAT A
217	GMMCO LTD	Super CAT A
218	GODFREY PHILLIPS INDIA LIMITED	Super CAT A
219	GODREJ AGROVET LIMITED	Super CAT A
220	GODREJ AND BOYCE MANUFACTURING COMPANY LIMITED	Super CAT A
221	GODREJ CONSUMER PRODUCTS LIMITED	Super CAT A
222	GODREJ INDUSTRIES LIMITED	Super CAT A
223	GODREJ PROPERTIES LIMITED	Super CAT A
224	GOLDMAN SACHS SERVICES PRIVATE LIMITED	Super CAT A
225	GRAPHITE INDIA LIMITED	Super CAT A
226	GRASIM INDUSTRIES LTD	Super CAT A
227	GREATSHIP (INDIA ) LIMITED	Super CAT A
228	GREAVES COTTON LIMITED	Super CAT A
229	GRUH FINANCE LIMITED	Super CAT A
230	GUJARAT ALKALIES AND CHEMICALS LIMITED	Super CAT A
231	GUJARAT CHEMICAL PORT TERMINAL COMPANY LIMITED	Super CAT A
232	GUJARAT FLUOROCHEMICALS LIMITED	Super CAT A
233	GUJARAT GAS LIMITED	Super CAT A
234	GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED	Super CAT A
235	GUJARAT TEA PROCESSORS AND PACKERS LIMITED	Super CAT A
236	HALDIRAM FOODS INTERNATIONAL PRIVATELIMITED	Super CAT A
237	HANWHA CORPORATION	Super CAT A
238	HAVELLS INDIA LIMITED	Super CAT A
239	HCL COMNET LIMITED	Super CAT A
240	HCL COMNET SYSTEMS & SERVICES LIMITED	Super CAT A
241	HCL INFOTECH LIMITED	Super CAT A
242	HCL TECHNOLOGIES LIMITED	Super CAT A
243	HDB FINANCIAL SERVICES LIMITED	Super CAT A
244	HDFC ASSET MANAGEMENT COMPANY LIMITED	Super CAT A
245	HDFC CREDILA FINANCIAL SERVICES PRIVATE LIMITED	Super CAT A
246	HDFC ERGO GENERAL INSURANCE COMPANY LIMITED	Super CAT A
247	HDFC GENERAL INSURANCE LIMITED	Super CAT A
248	HDFC LIFE INSURANCE COMPANY LIMITED	Super CAT A
249	HDFC SECURITIES LIMITED	Super CAT A
250	HDFC STANDARD LIFE INSURANCE COMPANY LIMITED	Super CAT A
251	HEIDELBERGCEMENT INDIA LIMITED.	Super CAT A
252	HERO CYCLES LIMITED	Super CAT A
253	HERO FINCORP LIMITED	Super CAT A
254	HERO MOTOCORP LIMITED	Super CAT A
255	HINDUJA GROUP LIMITED	Super CAT A
256	HINDUSTAN AERONAUTICS LIMITED	Super CAT A
257	Hindustan coca-cola beverages private limited	Super CAT A
258	HINDUSTAN COPPER LTD	Super CAT A
259	HINDUSTAN MEDIA VENTURES LIMITED	Super CAT A
260	HINDUSTAN PETROLEUM CORPORATION LIMITED	Super CAT A
261	Hindustan unilever limited	Super CAT A
262	HINDUSTAN ZINC LIMITED	Super CAT A
263	HITACHI INDIA PRIVATE LIMITED	Super CAT A
264	Hmc mm auto limited	Super CAT A
265	HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED	Super CAT A
266	HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED	Super CAT A
267	HP INDIA SALES PRIVATE LIMITED	Super CAT A
268	HT MEDIA LIMITED	Super CAT A
269	HUBERGROUP INDIA PRIVATE LIMITED	Super CAT A
270	HUMANA FORMULATIONS PRIVATE LIMITED	Super CAT A
271	HYUNDAI ENGINEERING AND CONSTRUCTION COMPANY LIMITED	Super CAT A
272	HYUNDAI MOTOR INDIA LIMITED	Super CAT A
273	IBM INDIA PRIVATE LIMITED	Super CAT A
274	IBM WORLD TRADE CORPN.	Super CAT A
