S NO.	COMPANY NAME	COMPANY CATEGORY
235	HINDUSTAN ORGANIC CHEMICALS LIMITED	CATGB
236	HINDALCO INDUSTRIES LIMITED	SCATA
237	HINDUJA FINANCE LIMITED	CATGB
238	HINDUSTAN CONSTRUCTION COMPANY LIMITED	CATGB
239	HINDUSTAN COPPER LTD	CATGB
240	HUBER INDIA PRIVATE LIMITED	CATGB
241	HINDUSTAN ZINC LIMITED	CATGA
242	HONDA CARS INDIA LIMITED	SCATA
243	HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED	CATGB
244	HINDUSTAN PETROLEUM CORPORATION LIMITED	SCATA
245	HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED	SCATA
246	HUAWEI TECHNOLOGIES INDIA PRIVATE LIMITED	SCATA
247	HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED	CATGA
248	HUGHES NETWORK SYSTEMS INDIA LIMITED	CATGB
249	IBM INDIA PRIVATE LIMITED	SCATA
250	ICICI BANK LIMITED	SCATA
251	ICICI HOME FINANCE COMPANY LIMITED	CATGB
252	3I INFOTECH LIMITED	CATGC
253	ICRISAT HYD	CATGC
254	IDBI BANK LIMITED	CATGA
255	IFB AGRO INDUSTRIES LTD.	CATGC
256	IFB INDUSTRIES LTD	CATGA
257	IFLEX SOFTWARE SOLUTIONS PRIVATE LIMITED	CATGC
258	INAUTIX TECHNOLOGIES INDIA PRIVATE LIMITED	CATGB
259	INDIA GLYCOLS LIMITED	CATGA
260	INDIA PISTONS LIMITED	CATGB
261	THE INDIAN CARD CLOTHING COMPANY LIMITED	CATGB
262	THE INDIAN HUME PIPE COMPANY LIMITED	CATGB
263	INDIAN Institute OF CHEMICAL	CATGB
264	INDIAN INSTITUTE OF MANAGEMENT CALCUTTA	CATGA
265	INDIAN INSTITUTE OF MANAGEMENT LUCKNOW	CATGA
266	INDIAN INSTITUTE OF MANAGEMENT, BAN	CATGA
267	Indian Oil Corporation Limited	SCATA
268	NEOSYM INDUSTRY LIMITED	CATGB
269	INDO COUNT INDUSTRIES LIMITED	CATGA
270	INDO- NATIONAL LIMITED	CATGC
271	INFORMATION TECHNOLOGIES (INDIA)LIMITED	CATGB
272	INFOSYS LIMITED	SCATA
273	CYIENT LIMITED	CATGA
274	INGERSOLL-RAND (INDIA) LIMITED	CATGB
275	INNOVA SOLUTIONS PRIVATE LIMITED	CATGB
276	INTERNATIONAL TRAVEL HOUSE LIMITED	CATGB
277	INVESTMENT & PRECISION CASTINGS LIMITED	CATGB
278	INVEST SMART INDIA PRIVATE LIMITED	CATGB
279	IP RINGS LIMITED	CATGB
280	IPCA LABORATORIES LIMITED	CATGA
281	ITC INFOTECH INDIA LIMITED	CATGC
282	J B CHEMICALS AND PHARMACEUTICALS LIMITED	CATGB
283	JAGATJIT INDUSTRIES LIMITED	CATGB
284	JAI CORP LIMITED	CATGB
285	JAY BHARAT MARUTI LIMITED	CATGB
286	JBF INDUSTRIES LIMITED	CATGA
287	JCB INDIA LIMITED	CATGA
288	JINDAL DRILLING AND INDUSTRIES LIMITED	CATGB
289	JINDAL DRUGS PRIVATE LIMITED	CATGB
290	JINDAL PHOTO LIMITED	CATGB
291	JINDAL PIPES LIMITED	CATGB
292	JINDAL POLY FILMS LIMITED	CATGA
293	J K TECHNOSOFT LIMITED	CATGC
294	JOHNSON AND JOHNSON PRIVATE LIMITED	SCATA
295	J. P. MORGAN INDIA PRIVATE LIMITED	SCATA
296	KAJARIA CERAMICS LIMITED	CATGA
297	KALYANI CONSULTANTS PRIVATE LIMITED	CATGB
298	KALYANI FORGE LIMITED	CATGB
299	KANORIA CHEMICALS & INDUSTRIES LTD	CATGB
300	KASTURI AND SONS LIMITED	CATGB
301	K.C.P.SUGAR AND INDUSTRIES CORPORATION LIMITED	CATGB
302	KEC INTERNATIONAL LIMITED	CATGA
303	KELLOG MERCANTILE PRIVATE LIMITED	CATGC
304	KESAR PETROPRODUCTS LIMITED	CATGB
305	KESORAM INDUSTRIES LTD	CATGA
306	KIRLOSKAR AAF LIMITED	CATGB
307	KIRLOSKAR BROTHERS LIMITED	CATGA
308	KIRLOSKAR ELECTRIC COMPANY LIMITED	CATGA
309	KNIGHT FRANK(INDIA) PRIVATE LIMITED	CATGB
310	KODAK INDIA PRIVATE LIMITED	CATGC
