S NO.	COMPANY NAME	COMPANY CATEGORY
208	AUTOMOBILE CORPORATION OF GOA LIMITED	CAT A
209	AUTOMOTIVE AXLES LIMITED	CAT A
210	AUTONATION PRIVATE LIMITED	CAT A
211	AVANSE FINANCIAL SERVICES LIMITED	CAT A
212	AVANTI FEEDS LIMITED	CAT A
213	AVENUE SUPERMARTS LIMITED	CAT A
214	AVERY DENNISON (INDIA) PRIVATE LIMITED	CAT A
215	AVNET INDIA PRIVATE LIMITED	CAT A
216	AVNET TECHNOLOGY SOLUTIONS (INDIA) PRIVATE LIMITED	CAT A
217	AVON CYCLES LIMITED	CAT A
218	AVVAS INFOTECH PRIVATE LIMITED	CAT A
219	AXA BUSINESS SERVICES PRIVATE LIMITED	CAT A
220	AXA ENTERPRISE LLP	CAT A
221	AXIS ASSET MANAGEMENT COMPANY LIMITED	CAT A
222	AXIS BANK LIMITED	CAT A
223	AXIS ENTERTAINMENT LIMITED	CAT A
224	AXIS SECURITIES LIMITED	CAT A
225	AZURE KNOWLEDGE CORPORATION PRIVATE LIMITED	CAT A
226	B R AGROTECH LIMITED	CAT A
227	B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED	CAT A
228	BA CONTINUUM INDIA PRIVATE LIMITED	CAT A
229	BACHI SHOES LIMITED	CAT A
230	BAE SYSTEMS INDIA (SERVICES) PRIVATE LIMITED	CAT A
231	BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED	CAT A
232	BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED	CAT A
233	BAJAJ AUTO FINANCE LIMITED	CAT A
234	BAJAJ AUTO LIMITED.	CAT A
235	BAJAJ CAPITAL INSURANCE BROKING LIMITED	CAT A
236	BAJAJ CORP LIMITED	CAT A
237	BAJAJ ELECTRICALS LIMITED	CAT A
238	BAJAJ FINANCE LIMITED	CAT A
239	BAJAJ FINSERV DIRECT LIMITED	CAT A
240	BAJAJ HOUSING FINANCE LIMITED	CAT A
241	BAJAJ MOTORS LIMITED	CAT A
242	BALAJI AMINES LIMITED	CAT A
243	BALAJI WAFERS PVT. LIMITED	CAT A
244	BALKRISHNA INDUSTRIES LIMITED	CAT A
245	BALLY TECHNOLOGIES INDIA PRIVATE LIMITED	CAT A
246	BALMER LAWRIE AND COMPANY LIMITED	CAT A
247	BALRAMPUR CHINI MILLS LIMITED	CAT A
248	BANCO ALUMINIUM LIMITED	CAT A
249	BANCO PRODUCTS (INDIA) LIMITED	CAT A
250	BANDHAN BANK LIMITED	CAT A
251	BANK NOTE PAPER MILL INDIA PRIVATE LIMITED	CAT A
252	BANK OF AMERICA N.A.	CAT A
253	BANK OF BARODA	CAT A
254	BANK OF INDIA	CAT A
255	BANK OF NOVA SCOTIA,	CAT A
256	BANNARI AMMAN SUGARS LIMITED	CAT A
257	BAOSTEEL SINGAPORE PTE LIMITED	CAT A
258	BARCLAYS BANK PLC.	CAT A
259	BARCLAYS INVESTMENTS & LOANS (INDIA) LIMITED.	CAT A
260	BARCLAYS SHARED SERVICES PRIVATE LIMITED	CAT A
261	BARCLAYS TECHNOLOGY CENTRE INDIA PRIVATE LIMITED	CAT A
262	BARODA PIONEER ASSET MANAGEMENT COMPANY LIMITED	CAT A
263	BATA INDIA LIMITED	CAT A
264	BAYER BIOSCIENCE PRIVATE LIMITED	CAT A
265	BAYER CROPSCIENCE LIMITED	CAT A
266	BAYER PHARMACEUTICALS PRIVATE LIMITED	CAT A
267	BAYER VAPI PRIVATE LIMITED	CAT A
268	BAYERISCHE GESELLSCHAFT FUR INTERNATIONAL WIRTSCHAFTSBEZ MBH - BAYERN INTERNATIONAL	CAT A
269	BCE CANCO INC	CAT A
270	BECHTEL INDIA PRIVATE LIMITED	CAT A
271	BEEHIVE CAPITAL ADVISORS PRIVATE LIMITED	CAT A
272	BEEPEE COATINGS PRIVATE LIMITED	CAT A
273	BEML LIMITED	CAT A
274	BENGAL AMBUJA HOUSING DEVELOPMENT LTD.	CAT A
275	BENNETT COLEMAN AND COMPANY LIMITED	CAT A
276	BERGER PAINTS INDIA LIMITED	CAT A
277	BERTELSMANN MARKETING SERVICES INDIA PRIVATE LIMITED	CAT A
278	BETTS INDIA PRIVATE LIMITED	CAT A
279	BG EXPLORATION AND PRODUCTION INDIA LIMITED	CAT A
280	BHAGYANAGAR GAS LIMITED	CAT A
281	BHAGYANAGAR INDIA LIMITED	CAT A
282	BHARAT ALUMINIUM CO LIMITED	CAT A
283	BHARAT BIJLEE LIMITED	CAT A
284	BHARAT ELECTRONICS LIMITED	CAT A
285	BHARAT FINANCIAL INCLUSION LIMITED	CAT A
286	BHARAT FORGE LIMITED	CAT A
287	BHARAT INSECTICIDES LIMITED	CAT A
288	BHARAT OMAN REFINERIES LIMITED	CAT A
289	BHARAT PETROLEUM CORPORATION LIMITED	CAT A
290	BHARATHI CEMENT CORPORATION PRIVATE LIMITED	CAT A
291	BHARATIYA RESERVE BANK NOTE MUDRAN PRIVATE LIMITED	CAT A
292	BHARTI AIRTEL LIMITED	CAT A
293	BHARTI AIRTEL SERVICES LIMITED	CAT A
294	BHARTI HEXACOM LIMITED	CAT A
295	BHARTI INFRATEL LIMITED	CAT A
296	BHARTI TELEMEDIA LIMITED	CAT A
297	BHARTIYA INTERNATIONAL LIMITED	CAT A
298	BHATE AND RAJE CONSTRUCTION COMPANY PRIVATE LIMITED	CAT A
299	BHEL-GE GAS TURBINE SERVICES PRIVATE LIMITED	CAT A
300	BHILOSA INDUSTRIES PRIVATE LIMITED	CAT A
301	BIBA APPARELS PRIVATE LIMITED	CAT A
302	BILL FORGE PRIVATE LIMITED	CAT A
303	BIMETAL BEARINGS LIMITED	CAT A
304	BIOCHEM PHARMACEUTICAL INDUSTRIES LIMITED PART IX	CAT A
305	BIOCON BIOLOGICS INDIA LIMITED	CAT A
306	BIOCON LIMITED	CAT A
307	BIOLOGICAL E. LIMITED	CAT A
308	BIOSTADT INDIA LIMITED	CAT A
309	BIRD WORLDWIDE FLIGHT SERVICES (INDIA) PRIVATE LIMITED	CAT A
310	BIRLA CORPORATION LIMITED	CAT A
311	BIRLA ERICSSON OPTICAL LIMITED	CAT A
312	BIRLA PRECISION TECHNOLOGIES LIMITED	CAT A
313	BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED	CAT A
314	BIRLASOFT (INDIA) LIMITED - BIRLASOFT LIMITED	CAT A
315	BLUE DART AVIATION LIMITED	CAT A
316	BLUE DART EXPRESS LIMITED	CAT A
317	BLUE SAPPHIRE HEALTHCARES PRIVATE LIMITED	CAT A
318	BLUE STAR LIMITED	CAT A
319	BMC SOFTWARE INDIA PRIVATE LIMITED	CAT A
320	BMW INDIA FINANCIAL SERVICES PRIVATE LIMITED	CAT A
321	BMW INDIA PRIVATE LIMITED	CAT A
322	BNP PARIBAS	CAT A
323	BNP PARIBAS INDIA SOLUTIONS PRIVATE LIMITED	CAT A
324	BNP PARIBAS SECURITIES INDIA PRIVATE LIMITED	CAT A
325	BNP PARIBAS WEALTH MANAGEMENT INDIA PRIVATE LIMITED	CAT A
326	BNY MELLON INTERNATIONAL OPERATIONS (INDIA) PRIVATE LIMITED	CAT A
327	BOMBARDIER AEROSPACE INDIA PRIVATE LIMITED	CAT A
