S NO.	COMPANY NAME	COMPANY CATEGORY
155	HONEYWELL AUTOMATION INDIA LIMITED	ELITE
156	HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED	ELITE
157	HPCL BIOFUELS LIMITED (HBL)	ELITE
158	HPCL RAJASTHAN REFINERY LIMITED (HRRL)	ELITE
159	HSBC LIMITED	ELITE
160	HT MEDIA LIMITED	ELITE
161	IBM INDIA PRIVATE LIMITED	ELITE
162	ICICI BANK LIMITED	ELITE
163	ICICI FOUNDATION	ELITE
164	ICICI HOME FINANCE COMPANY LIMITED	ELITE
165	ICICI INVESTMENT MANAGEMENT CO LIMITED	ELITE
166	ICICI LOMBARD GENERAL INSURANCE CO LIMITED	ELITE
167	ICICI MERCHANT SERVICES PRIVATE LIMITED	ELITE
168	ICICI PRUDENTIAL ASSET MANAGEMENT CO LIMITED	ELITE
169	ICICI PRUDENTIAL LIFE INSURANCE CO LIMITED	ELITE
170	ICICI PRUDENTIAL TRUST LIMITED	ELITE
171	ICICI SECURITIES LIMITED	ELITE
172	ICICI SECURITIES PRIMARY DEALERSHIP LIMITED	ELITE
173	ICICI TRUSTEESHIP SERVICES LIMITED	ELITE
174	ICICI VENTURES FUND MANAGEMENT CO LIMITED	ELITE
175	IDBI BANK LIMITED	ELITE
176	IDFC LIMITED	ELITE
177	IFCI LIMITED	ELITE
178	IFFCO CHATISHGARH POWER LIMITED	ELITE
179	INDIAN BANK	ELITE
180	INDIAN CATALYST PRIVATE LIMITED	ELITE
181	INDIAN HOTELS	ELITE
182	INDIAN HOTELS COMPANY LIMITED	ELITE
183	INDIAN NAVY(PN035)	ELITE
184	INDIAN OIL CORPN LIMITED	ELITE
185	INDIAN OVERSEAS BANK	ELITE
186	INDIAN POSTASH LIMITED	ELITE
187	INDIAN RAIL FINANCE CORPORATION	ELITE
188	INDRAPRASTHA GAS LIMITED	ELITE
189	INDUSIND BANK LIMITED	ELITE
190	INFO EDGE INDIA LIMITED	ELITE
191	INFOSYS BPM LIMITED	ELITE
192	INFOSYS CONSULTING INDIA LIMITED	ELITE
193	INFOSYS LIMITED	ELITE
194	INFOTEL BROADBAND SERVICES LIMITED	ELITE
