S NO.	COMPANY NAME	COMPANY CATEGORY
180	INDUSIND BANK LIMITED	 Super A
181	INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED	 Super A
182	INTEL TECHNOLOGY INDIA PRIVATE LIMITED	 Super A
183	INTERNATIONAL TRACTORS LIMITED	 Super A
184	ITC LIMITED	 Super A
185	J B CHEMICALS AND PHARMACEUTICALS LIMITED	 Super A
186	JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED	 Super A
187	JOHN DEERE INDIA PRIVATE LIMITED	 Super A
188	JOHNSON CONTROLS INDIA PRIVATE LIMITED	 Super A
189	KANSAI NEROLAC PAINTS LIMITED	 Super A
190	KOTAK MAHINDRA BANK LIMITED	 Super A
191	KOTAK SECURITIES LIMITED	 Super A
192	KPMG ADVISORY SERVICES PRIVATE LIMITED	 Super A
193	LARSEN AND TOUBRO INFOTECH LIMITED	 Super A
194	LINDE ENGINEERING INDIA PRIVATE LIMITED	 Super A
195	LUMINOUS POWER TECHNOLOGIES PRIVATE LIMITED	 Super A
196	MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED	 Super A
197	MAHINDRA AND MAHINDRA LIMITED	 Super A
198	MAHINDRA INTERTRADE LIMITED	 Super A
199	MANGALORE REFINERY AND PETROCHEMICALS LIMITED	 Super A
200	MICROSOFT CORPORATION INDIA PRIVATE LIMITED	 Super A
201	MONDELEZ INDIA FOODS PRIVATE LIMITED	 Super A
202	MOTILAL OSWAL FINANCIAL SERVICES LIMITED	 Super A
203	MPHASIS LIMITED	 Super A
204	MUNJAL SHOWA LIMITED	 Super A
205	NATIONAL FERTILIZERS LIMITED	 Super A
206	NATIONAL STOCK EXCHANGE OF INDIA LIMITED	 Super A
207	NIPPON EXPRESS INDIA PRIVATE LIMITED	 Super A
208	PAHARPUR COOLING TOWERS LIMITED	 Super A
209	PFIZER LIMITED	 Super A
210	PROCTER AND GAMBLE HOME PRODUCTS PRIVATE LIMITED	 Super A
211	RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED	 Super A
212	RATNAMANI METALS AND TUBES LIMITED	 Super A
213	ROCKMAN INDUSTRIES LIMITED	 Super A
214	SBICAP SECURITIES LIMITED	 Super A
215	SERUM INSTITUTE OF INDIA PRIVATE LIMITED	 Super A
216	SHREE CEMENT LIMITED	 Super A
217	SIEMENS INDUSTRY SOFTWARE INDIA PRIVATE LIMITED	 Super A
218	SIEMENS LIMITED	 Super A
219	SIKKA PORTS AND TERMINALS LIMITED	 Super A
220	SOLAR INDUSTRIES INDIA LIMITED	 Super A
221	SUN PHARMACEUTICAL INDUSTRIES LIMITED	 Super A
222	SUNDARAM CLAYTON LIMITED	 Super A
223	SUNDARAM FINANCE LIMITED	 Super A
224	TATA CAPITAL LIMITED	 Super A
225	TATA CONSULTANCY SERVICES LIMITED	 Super A
226	TATA CUMMINS PRIVATE LIMITED	 Super A
227	TATA TECHNOLOGIES LIMITED	 Super A
228	THE CLEARING CORPORATION OF INDIA LIMITED	 Super A
229	TORRENT PHARMACEUTICALS LIMITED	 Super A
230	TOYOTA FINANCIAL SERVICES INDIA LIMITED	 Super A
231	TRACTORS AND FARM EQUIPMENT LIMITED	 Super A
232	V I P INDUSTRIES LIMITED	 Super A
233	INTERNATIONAL LABOUR ORGANIZATION	CAT A
234	INFOSYS TECHNOLOGY LIMITED	CAT A
235	DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED	CAT A
236	EDGEVERVE SYSTEMS LIMITED	CAT A
237	HETERO DRUGS LIMITED	CAT A
238	HUNTSMAN INTERNATIONAL INDIA PRIVATE LIMITED	CAT A
239	INDIA YAMAHA MOTOR PRIVATE LIMITED	CAT A
240	INDUS TOWERS LIMITED	CAT A
241	JINDAL POLY FILMS LIMITED	CAT A
242	ORACLE INDIA PRIVATE LIMITED	CAT A
243	SHELL INDIA MARKETS PRIVATE LIMITED	CAT A
244	THE BOMBAY DYEING AND MANUFACTURING COMPANY LIMITED	CAT A
245	THE TATA POWER COMPANY LIMITED	CAT A
246	ZEE MEDIA CORPORATION LIMITED	CAT A
247	TELSTRA INDIA PRIVATE LIMITED	CAT A
248	FIRST ENERGY PRIVATE LIMITED	CAT A
249	DUNZO DIGITAL PRIVATE LIMITED	CAT A
250	SPINKS INDIA PRIVATE LIMITED	CAT A
251	SOFTWARE PARADIGMS INFOTECH PRIVATE LIMITED	CAT A
252	GIRDHARI LAL CONSTRUCTIONS PRIVATE LIMITED	CAT A
253	MODERN INDIA LIMITED	CAT A
254	VERGO PHARMA RESEARCH LABORATORIES PRIVATE LIMITED	CAT A
255	WATANMAL INDIA PRIVATE LIMITED	CAT A
