S NO.	COMPANY NAME	COMPANY CATEGORY
134	SAIRAM ENGINEERING SERVICES INDIA PRIVATE LIMITED	 CAT D 
135	CHANDANA BROTHERS SHOPPING MALL PRIVATE LIMITED	 CAT B 
136	ULTRATECH INDIA LIMITED	 CAT D 
137	fresh and honest cafe limited	 CAT C 
138	A One Biz Solutions Pvt ltd	 CAT D 
139	ANGEL PUMPS PRIVATE LIMITED	 CAT D 
140	OATSYSTEMS SOFTWARE INDIA PRIVATE LIMITED	 CAT D 
141	GANGA KAVERI SEEDS PRIVATE LIMITED	 CAT B 
142	CYBERACE INFOVISION PVT LTD	 CAT D 
143	PEOPLEFRAME INFORMATION TECHNOLOGIES PRIVATE LIMITED	 CAT D 
144	DDB MUDRA PVT LTD	 CAT C 
145	BLACK BEAN DIGITAL MARKETING PVT LTD	 CAT D 
146	Edelweiss Retail Finance Ltd	 Super A 
147	ARATTUKULAM INFRASTRUCTURE CONSTRUCTION PVT LTD	 CAT D 
148	UNIQUE CIRCLE AUTOMATION PRIVATE LIMITED	 CAT D 
149	DOEHLER INDIA PRIVATE LIMITED	 CAT C 
150	GESTAMP PUNE AUTOMOTIVE PVT LTD	 CAT D 
151	UNIQUE ENGINEERS PRIVATE LIMITED	 CAT B 
152	HEALIX HEALTHCARE PRIVATE LIMITED	 CAT D 
153	CORE JEWELLERY PRIVATE LIMITED	 CAT C 
154	AJMAL BIOTECH PRIVATE LIMITED	 CAT D 
155	Sona Gold Agrochem Pvt Ltd	 CAT C 
156	spack automotives private limited	 CAT C 
157	TRIVIUM EDUCATION SERVICES PRIVATE LIMITED	 CAT D 
158	TRICON INFRA BUILDTECH PRIVATE LIMITED	 CAT C 
159	STANLEY RETAIL LTD	 CAT C 
160	FORTIS HEALTH MANAGMENT LIMITED	 CAT D 
161	RANE AXLE AND PRESSING PRIVATE LIMITED	 CAT D 
162	THREE TEL NETWORK SERVICES PVT LTD	 CAT D 
163	CEL LOGISTICS PRIVATE LIMITED	 CAT D 
164	RN INFRASTRUCTURE LTD	 CAT D 
165	MODY CHEMI PHARMA PRIVATE LIMITED	 CAT D 
166	METAPURE SUPPLEMENT PVT LTD	 CAT D 
167	INNOX IMPEX PVT LTD	 CAT D 
168	MITSUBISHI CORPORATION INDIA PRIVATE LIMITED	 CAT A 
169	B R D CAR WORLD LIMITED	 CAT C 
170	ECO Recycling Limited	 CAT D 
171	FLOURISH PUREFOODS PRIVATE LIMITED	 CAT D 
172	MASTER VOSS INTERNATIONAL PROJECTS PRIVATE LIMITED	 CAT D 
173	BRIDGEI2I ANALYTICS SOLUTIONS PRIVATE LIMITED	 CAT C 
174	K L ENVITECH PVT LTD	 CAT D 
175	CKS CONSULTING PRIVATE LIMITED	 CAT D 
176	SHIPCO IT PRIVATE LIMITED	 CAT D 
177	CANARYS AUTOMATIONS PVT LTD	 CAT D 
178	BULLMEN REALTY INDIA PRIVATE LIMITED	 CAT D 
179	RADHA REGENT HOTELS PVT LTD	 CAT C 
180	AST TELECOM SOLAR PRIVATE LIMITED	 CAT C 
181	TRANSACT BPO SERVICES INDIA PRIVATE LTD	 CAT D 
182	MIRAH REALTORS PRIVATE LIMITED	 CAT D 
183	GMR CONSULTING SERVICES LIMITED	 CAT D 
184	EMBASSY SERVICES PVT LTD	 CAT B 
185	JINDAL STAINLESS STEELWAY LIMITED	 CAT B 
186	HARIBHAKTI AND CO LLP	 CAT D 
187	ARKEMA CHEMICALS INDIA PVT LTD	 CAT C 
188	NEHA HOSPITALITY and  MANAGEMENT SERVICES PRIVATE LIMITED	 CAT D 
189	DUFLON INDUSTRIES PRIVATE LIMITED	 CAT C 
190	JAINCO RUBBER INDUSTRIES LIMITED	 CAT D 
191	ENFLUENCE IT SERVICES PVT LTD	 CAT D 
192	CUREWORTH DRUGS AND INTERMEDIATES PRIVATE LIMITED	 CAT D 
193	VERIZON COMMUNICATIONS INDIA PVT LTD	 CAT B 
194	FORERUN TECHNOLOGIES INDIA PRIVATE LIMITED	 CAT D 
195	EBCO PRIVATE LIMITED	 CAT B 
196	MAFLOW INDIA PVT LTD	 CAT D 
197	SURUCHI SPICES PRIVATE LIMITED	 CAT C 
198	REGUS CENTRE PRIVATE LIMITED	 CAT D 
199	ORION INBOUND PRIVATE LIMITED	 CAT D 
200	GRINDLAYS PHARMACEUTICALS PVT LTD	 CAT D 
201	SALTROCK ADVISORS PRIVATE LIMITED	 CAT D 
202	artha data solutions india pvt ltd	 CAT D 
203	SONA ISPAT INDIA PRIVATE LIMITED	 CAT D 
204	VSKB Consultants Pvt Ltd	 CAT D 
205	VISAGE IMPEX INDIA PRIVATE LIMITED	 CAT D 
206	THINK BIM Technical Services Pvt Ltd	 CAT D 
207	B A FABRICATORS and ENGINEERS pvt LTD	 CAT D 
208	INNOVAGE FINTECH PRIVATE LIMITED	 CAT D 
209	UJJIVAN FINANCIAL SERVICES LIMITED	 CAT B 
210	duro shox pvt ltd	 CAT C 
211	KALYANI MAXION WHEELS LIMITED	 CAT B 
212	DQS CERTIFICATIONS INDIA PRIVATE LIMITED	 CAT D 
213	VERITAS FINANCE PRIVATE LIMITED	 CAT C 
214	NAMDHARI SEEDS PRIVATE LIMITED	 CAT B 
215	PRAMATI TECHNOLOGIES PVT LTD	 CAT C 
216	SEKHRI ACADEMY AND IMMIGRATION LTD	 CAT D 
217	FILM FARM INDIA PVT LTD	 CAT C 
218	RAMDEV FOOD PRODUCTS PRIVATE LIMITED	 CAT B 
219	EQUITAS TECHNOLOGIES PVT LTD	 CAT A 
220	ADANI GREEN ENERGY LIMITED	 CAT C 
221	FIRST ADVANTAGE GLOBAL OPERATING CENTER PVT LTD	 CAT C 
222	INTENSITY GLOBAL TECHNOLOGIES PRIVATE LIMITED	 CAT D 
223	WDS ONLINE PRIVATE LIMITED	 CAT D 
224	JAM HOTELS AND RESORTS PRIVATE LIMITED	 CAT C 
225	TOSHIBA SOFTWARE INDIA PRIVATE LIMITED	 CAT C 
226	ENEXIO POWER COOLING SOLUTIONS INDIA PVT LTD	 CAT B 
227	AXIS ASSET MANAGEMENT COMPANY LIMITED	 CAT A 
228	Two55am Studio Pvt Ltd	 CAT D 
229	ETA ENGINEERING PVT LTD	 CAT D 
230	INTELLIGENCENODE CONSULTING PVT LTD	 CAT D 
231	UNI TECH AUTOMATION PRIVATE LIMITED	 CAT C 
232	SYSTRA MVA CONSULTING INDIA PRIVATE LIMITED	 CAT C 
233	T R CHADHA AND  CO LLP	 CAT C 
234	ALUCAST ENGINEERING PVT LTD	 CAT B 
235	RISHA CONTROL ENGINEERS PRIVATE  LIMITED	 CAT D 
236	GYPSONITE INDUSTRIES PRIVATE LIMITED	 CAT D 
237	FORBES MARSHALL ARCA PVT LTD	 CAT B 
238	AXALTA COATING SYSTEMS INDIA PRIVATE LIMITED	 CAT C 
239	GEOTRIX BUILDING ENVELOPE PRIVATE LIMITED	 CAT D 
240	JOSEPH LESLIE DYNAMIKS MANUFACTURING PRIVATE LIMITED	 CAT C 
241	ROI Mantra Pvt Ltd	 CAT C 
242	RICO JINFEI WHEELS LIMITED	 CAT C 
243	TOSHNIWAL HYVAC PRIVATE LIMITED	 CAT D 
